City,Country,Temperature (C),Max Temperature (C),Humidity,Cloudiness,Windspeed (mph),Latitude,Longitude
Punta Arenas,CL,2.96,3.06,65,20,8.23,-53.15,-70.9167
Cherskiy,RU,5.63,5.63,68,4,4.34,68.75,161.3
Thompson,CA,18.09,18.09,72,75,1.03,55.7435,-97.8558
Butaritari,KI,27.53,27.53,75,12,7.99,3.0707,172.7902
Laas,IT,22.23,23.49,89,55,2.28,46.6166,10.7002
Chui,UY,18.08,18.08,87,90,2.54,-33.6971,-53.4616
Castro,BR,22.73,22.73,44,0,1.93,-24.7911,-50.0119
Richards Bay,ZA,14.52,14.52,80,0,3.1,-28.783,32.0377
Barrow,US,2.01,2.01,93,100,6.69,71.2906,-156.7887
Mataura,NZ,6.93,6.93,97,100,3.42,-46.1927,168.8643
Saint Anthony,US,24.13,26.38,65,100,4.12,45.0205,-93.218
Khatanga,RU,18.27,18.27,60,54,3.94,71.9667,102.5
Imeni Poliny Osipenko,RU,11.55,11.55,96,38,1.9,52.4201,136.4853
Chicama,PE,17.3,17.3,65,100,4.26,-7.8447,-79.1469
Bredasdorp,ZA,10.72,10.72,90,100,2.78,-34.5322,20.0403
Cape Town,ZA,13.39,14.51,81,20,3.6,-33.9258,18.4232
Najrān,SA,31.36,31.36,34,100,1.1,17.4924,44.1277
Nikolskoye,RU,22.18,23.78,70,83,3.09,59.7035,30.7861
Kahului,US,26.86,27.2,71,0,7.6,20.8947,-156.47
Maragogi,BR,24.39,24.39,83,84,5.08,-9.0122,-35.2225
Saint-Philippe,RE,18.88,19.01,81,4,4.1,-21.3585,55.7679
Guerrero Negro,MX,27.43,27.43,48,44,3.36,27.9769,-114.0611
Arraial do Cabo,BR,23.92,24.98,78,20,8.23,-22.9661,-42.0278
Rikitea,PF,24.02,24.02,76,100,6.08,-23.1203,-134.9692
La Primavera,CO,28.19,28.19,74,96,2.17,5.4906,-70.4092
Christchurch,NZ,8.24,8.84,97,100,7.2,-43.5333,172.6333
Alice,US,34.89,35.69,49,0,3.6,27.7523,-98.0697
Kapaa,US,26.64,27.18,73,40,8.23,22.0752,-159.319
Upernavik,GL,3.63,3.63,89,100,5.13,72.7868,-56.1549
Busselton,AU,9.68,9.68,83,0,2.96,-33.65,115.3333
Hobart,AU,6.61,6.92,95,100,2.06,-42.8794,147.3294
Braniewo,PL,17.53,17.53,83,100,5.28,54.3797,19.8196
Bogorodskoye,RU,19.02,19.02,88,35,1.62,56.55,37.8833
Hilo,US,23.6,27.93,93,75,0.45,19.7297,-155.09
San Rafael,AR,12.2,12.2,73,100,3.59,-34.6177,-68.3301
Kiboga,UG,18.48,18.48,60,47,1.51,0.9161,31.7742
Sola,VU,24.37,24.37,100,20,0.0,-13.8833,167.55
Leningradskiy,RU,0.73,0.73,99,100,3.93,69.3833,178.4167
Hermanus,ZA,11.56,11.56,88,100,3.06,-34.4187,19.2345
Ushuaia,AR,2.81,3.79,60,20,4.12,-54.8,-68.3
Bonfim,BR,31.97,31.97,65,60,1.45,3.0833,-59.95
Qaanaaq,GL,6.75,6.75,61,53,1.43,77.484,-69.3632
Tapejara,BR,24.21,24.21,68,36,1.55,-28.0681,-52.0139
Neuquén,AR,8.94,8.94,87,75,0.0,-38.9516,-68.0591
Katangli,RU,13.12,13.12,97,100,1.62,51.7102,143.2326
Kyra,RU,12.85,12.85,94,100,6.61,49.5776,111.9753
Bambous Virieux,MU,20.14,20.68,94,40,4.12,-20.3428,57.7575
Akdepe,TM,28.05,28.05,30,0,3.37,42.0551,59.3788
Jamestown,US,24.1,26.08,57,40,1.79,42.097,-79.2353
Pocrí,PA,28.9,28.9,65,99,2.9,8.2667,-80.55
Tutóia,BR,27.82,27.82,62,12,4.05,-2.7619,-42.2744
Phan Thiet,VN,24.5,24.5,88,90,1.62,10.9333,108.1
Alamosa,US,21.99,21.99,53,0,3.09,37.4695,-105.87
Inuvik,CA,16.45,18.56,85,100,2.57,68.3499,-133.7218
Olafsvik,IS,11.67,11.67,90,100,6.12,64.8945,-23.7142
Pangnirtung,CA,6.0,6.0,87,75,2.57,66.1451,-65.7125
La Porte,US,34.4,37.27,61,75,2.06,29.6658,-95.0194
Puerto Ayora,EC,22.53,25.98,89,100,4.02,-0.7393,-90.3518
Port Elizabeth,ZA,11.16,11.16,93,10,2.06,-33.918,25.5701
Hong Kong,HK,29.96,30.74,77,0,4.02,22.2855,114.1577
Owensboro,US,22.71,23.03,94,100,5.14,37.7742,-87.1133
Port Said,EG,27.99,27.99,78,0,3.6,31.2565,32.2841
Tasiilaq,GL,3.23,3.23,92,100,0.8,65.6145,-37.6368
Hithadhoo,MV,27.33,27.33,76,100,5.42,-0.6,73.0833
Río Gallegos,AR,2.03,2.03,60,0,4.12,-51.6226,-69.2181
Pevek,RU,1.04,1.04,83,85,2.53,69.7008,170.3133
Port Alfred,ZA,17.83,17.83,59,0,4.69,-33.5906,26.891
Albany,US,24.23,25.69,49,100,0.45,42.6001,-73.9662
Ostashkov,RU,19.17,19.17,76,78,0.43,57.1467,33.1075
Kingisepp,RU,20.26,20.26,61,93,3.1,59.3733,28.6134
East London,ZA,15.52,15.52,82,0,3.6,-33.0153,27.9116
Mar del Plata,AR,13.4,15.05,97,100,4.12,-38.0023,-57.5575
Gangāpur,IN,26.79,26.79,82,45,3.3,26.4833,76.7167
Mahébourg,MU,20.16,20.7,94,40,4.12,-20.4081,57.7
Lewisporte,CA,23.64,23.84,74,100,5.73,49.2499,-55.0482
Lebu,CL,12.28,12.28,78,3,8.04,-37.6167,-73.65
Asola,IT,31.4,32.03,84,66,5.76,45.2211,10.4136
Merauke,ID,24.52,24.52,85,99,6.41,-8.4667,140.3333
Dormidontovka,RU,18.69,18.69,94,96,1.08,47.7702,134.9076
Clyde River,CA,5.13,5.13,93,75,4.63,70.4692,-68.5914
Tiarei,PF,25.01,25.01,81,100,6.31,-17.5333,-149.3333
Taoudenni,ML,42.38,42.38,8,100,5.24,22.6783,-3.9836
Springville,US,32.08,34.34,30,100,0.89,40.1652,-111.6107
Kloulklubed,PW,23.28,23.28,71,100,1.21,7.0419,134.2556
Bluff,NZ,7.11,7.11,89,100,10.04,-46.6,168.3333
Gävle,SE,17.89,18.54,69,58,1.34,60.6745,17.1417
Saint-Paul,RE,19.6,21.05,79,48,1.78,-21.0096,55.2707
Husavik,IS,12.38,12.38,73,94,2.57,66.0449,-17.3389
Farafangana,MG,19.76,19.76,82,3,2.19,-22.8167,47.8333
São João da Barra,BR,26.05,26.05,73,52,5.18,-21.6403,-41.0511
Colac,AU,10.44,10.46,95,100,4.25,-38.3333,143.5833
Tiksi,RU,10.81,10.81,83,55,1.18,71.6872,128.8694
Arrondissement de Vierzon,FR,22.75,23.33,55,100,1.73,47.2101,2.0625
Bowen,AU,16.02,16.02,87,0,2.08,-20.0167,148.2333
Morgan City,US,32.99,32.99,53,79,3.49,29.6994,-91.2068
Tuktoyaktuk,CA,15.0,15.0,82,100,8.75,69.4541,-133.0374
La Ronge,CA,17.12,17.12,88,75,3.09,55.1001,-105.2842
Hamilton,US,22.95,24.48,90,100,2.06,39.1834,-84.5333
Nong Chik,TH,25.71,25.71,87,100,1.96,6.8436,101.178
Puteyets,RU,12.84,12.84,70,80,1.49,65.1716,57.091
Ponta do Sol,PT,27.29,27.35,55,4,2.72,32.6667,-17.1
Lodja,CD,27.34,27.34,32,100,0.74,-3.4833,23.4333
Rosário do Sul,BR,24.87,24.87,70,50,3.13,-30.2583,-54.9142
Ribeira Grande,PT,25.22,25.22,83,20,4.63,38.5167,-28.7
Saskylakh,RU,18.11,18.11,89,42,1.72,71.9167,114.0833
Gualaco,HN,30.91,30.91,70,77,1.63,15.05,-86.05
Ostrovnoy,RU,16.03,16.03,71,100,8.48,68.0531,39.5131
Atuona,PF,25.18,25.18,74,9,7.86,-9.8,-139.0333
Bāglung,NP,21.6,21.6,97,100,0.18,28.2719,83.5898
Lompoc,US,19.72,26.68,79,100,2.57,34.6391,-120.4579
Rudnogorsk,RU,12.39,12.39,96,97,2.66,57.2639,103.7519
Oranjemund,NA,12.79,12.79,86,69,1.14,-28.55,16.4333
Vao,NC,19.69,19.69,62,0,3.01,-22.6667,167.4833
Mehamn,NO,16.97,16.97,82,75,2.57,71.0357,27.8492
Katsuura,JP,26.2,26.2,90,97,6.02,35.1333,140.3
Qaqortoq,GL,8.59,8.59,84,47,2.28,60.7167,-46.0333
Muros,ES,22.2,25.38,59,4,6.48,42.7762,-9.0603
Tiznit Province,MA,33.43,33.43,21,0,4.17,29.5833,-9.5
San Quintín,MX,23.35,23.35,64,17,5.27,30.4833,-115.95
Coruripe,BR,24.12,24.12,82,95,6.43,-10.1256,-36.1756
Araouane,ML,40.71,40.71,8,17,5.13,18.9048,-3.5265
Cedar City,US,22.54,22.54,64,0,5.66,37.6775,-113.0619
Portland,US,30.97,34.14,47,0,2.06,45.5234,-122.6762
Lahuachaca,BO,14.46,14.46,25,73,2.4,-17.3667,-67.6667
Kumul,CN,27.78,27.78,14,0,4.82,42.8,93.45
Iqaluit,CA,10.85,10.85,76,20,3.09,63.7506,-68.5145
Gimbi,ET,13.47,13.47,98,100,0.88,9.1667,35.8333
Severo-Kuril'sk,RU,10.85,10.85,87,88,2.04,50.6789,156.125
Panguna,PG,19.82,19.82,95,100,0.88,-6.3164,155.4848
Iquique,CL,16.02,16.02,71,58,4.71,-20.2208,-70.1431
Agüimes,ES,27.24,28.7,54,0,10.8,27.9054,-15.4461
Pimentel,PE,20.16,20.16,68,0,5.14,-6.8367,-79.9342
New Norfolk,AU,6.13,6.72,87,87,1.3,-42.7826,147.0587
Luang Prabang,LA,23.4,23.4,89,34,0.63,19.8856,102.1347
Yellowknife,CA,20.29,20.31,52,40,3.09,62.456,-114.3525
Sabha,LY,31.37,31.37,13,68,3.99,27.0377,14.4283
Mayya,RU,12.62,12.62,77,55,1.32,61.7333,130.2811
Kavieng,PG,27.93,27.93,70,100,5.58,-2.5744,150.7967
Aklavik,CA,20.27,20.27,44,100,5.99,68.2191,-135.0107
Kaitangata,NZ,7.43,7.43,95,100,6.23,-46.2817,169.8464
Maxixe,MZ,15.47,15.9,82,0,0.0,-23.8597,35.3472
Comodoro Rivadavia,AR,2.92,2.92,87,75,3.09,-45.8667,-67.5
Gazojak,TM,29.59,29.59,31,6,5.58,41.1875,61.4036
Nampa,US,32.4,34.26,24,0,3.6,43.5407,-116.5635
Sørland,NO,11.92,11.92,92,100,13.42,67.667,12.6934
Fairbanks,US,11.67,12.83,61,75,7.72,64.8378,-147.7164
Dicabisagan,PH,25.82,25.82,88,98,1.83,17.0818,122.4157
Sorong,ID,24.69,24.69,91,18,3.38,-0.8833,131.25
Plouzané,FR,19.07,19.18,59,0,4.12,48.3833,-4.6167
Kapit,MY,22.77,22.77,100,100,0.15,2.0167,112.9333
Fortuna,US,18.99,20.52,75,39,1.34,40.5982,-124.1573
Sangmélima,CM,20.6,20.6,98,100,1.05,2.9333,11.9833
Provideniya,RU,7.12,7.12,66,68,2.2,64.3833,-173.3
Sinazongwe,ZM,19.26,19.26,42,0,1.09,-17.2614,27.4618
Tarko-Sale,RU,14.48,14.48,76,0,4.25,64.9225,77.785
Raja,SS,21.91,21.91,94,100,1.77,8.4596,25.678
Constantine,DZ,34.67,34.67,20,20,6.69,36.365,6.6147
Kamaishi,JP,22.58,22.58,93,99,1.4,39.2667,141.8833
Caravelas,BR,23.96,23.96,68,1,3.28,-17.7125,-39.2481
Bayaguana,DO,32.03,32.75,49,3,5.2,18.7564,-69.6362
Rochegda,RU,15.75,15.75,74,27,2.51,62.8,43.25
San Juan,AR,16.96,16.96,62,59,5.71,-31.5375,-68.5364
Beloha,MG,16.22,16.22,76,0,1.35,-25.1667,45.05
Samarai,PG,25.83,25.83,85,28,4.59,-10.6167,150.6667
Opuwo,NA,18.58,18.58,25,7,2.98,-18.0607,13.84
Longyearbyen,SJ,8.91,8.91,87,75,3.6,78.2186,15.6401
George Town,MY,26.78,28.27,90,20,2.06,5.4112,100.3354
Olinda,BR,22.85,22.85,88,100,3.6,-8.0089,-34.8553
Gumlā,IN,23.84,23.84,90,100,2.24,23.05,84.55
Souillac,MU,20.21,20.21,94,40,4.12,-20.5167,57.5167
Zheleznodorozhnyy,RU,22.78,24.29,72,91,2.53,55.7503,38.0042
Mayo,US,25.41,27.28,77,40,2.06,38.8876,-76.5119
Malpe,IN,25.61,25.61,85,100,2.3,13.35,74.7167
Kamuli,UG,21.16,21.16,59,100,0.35,0.9472,33.1197
Sharjah city,AE,35.16,35.99,46,0,3.09,25.3573,55.4033
Korla,CN,29.6,29.6,19,1,1.03,41.7597,86.1469
Pustoshka,RU,17.79,17.79,84,97,1.93,56.3355,29.369
Hasaki,JP,25.22,25.22,91,100,7.32,35.7333,140.8333
San Patricio,US,34.06,36.4,42,47,7.69,28.017,-97.5169
Sungurlu,TR,20.31,20.31,58,0,3.27,40.1675,34.3739
Saldanha,ZA,13.03,13.03,87,11,1.91,-33.0117,17.9442
Cockburn Town,TC,30.98,30.98,66,40,8.23,21.4612,-71.1419
Dunedin,NZ,7.78,7.78,96,100,5.89,-45.8742,170.5036
Puerto Palomas,MX,30.15,30.15,37,4,2.18,31.7667,-107.6167
Mogadishu,SO,24.35,24.35,84,33,9.33,2.0371,45.3438
Tūkrah,LY,27.0,27.0,72,0,1.76,32.5341,20.5791
Nizwá,OM,26.81,26.81,77,100,1.17,22.9333,57.5333
Williston,US,23.24,23.78,46,62,0.89,48.147,-103.618
Cayenne,GF,30.05,32.02,24,20,5.66,4.9333,-52.3333
Coyhaique,CL,0.97,1.34,80,100,3.09,-45.5752,-72.0662
Pacific Grove,US,16.62,21.01,81,40,3.58,36.6177,-121.9166
Hervey Bay,AU,13.07,13.07,61,0,6.54,-25.2986,152.8535
Bragança,BR,26.9,26.9,84,84,1.86,-1.0536,-46.7656
Port Blair,IN,28.02,28.02,78,40,1.03,11.6667,92.75
Saint Paul Harbor,US,12.73,12.73,58,0,2.57,57.79,-152.4072
Naviraí,BR,30.4,30.4,26,0,1.55,-23.065,-54.1906
Nelson Bay,AU,10.02,10.56,74,6,5.81,-32.7167,152.15
Ružomberok,SK,16.66,16.66,99,100,1.44,49.0748,19.3075
Westport,US,26.97,28.73,57,0,6.69,41.1415,-73.3579
Sambava,MG,20.98,20.98,82,17,5.05,-14.2667,50.1667
São Filipe,CV,25.77,25.77,81,99,2.11,14.8961,-24.4956
Mundo Nuevo (Ojo de Agua),MX,28.93,28.93,69,50,3.07,18.7,-95.5
Kota Kinabalu,MY,23.99,23.99,100,40,3.13,5.9749,116.0724
Bagdarin,RU,14.45,14.45,99,100,2.49,54.4333,113.6
Lensk,RU,20.78,20.78,83,0,0.59,60.7253,114.9278
Mareeba,AU,15.21,16.4,92,1,1.05,-17.0,145.4333
Ukiah,US,24.47,35.24,50,0,2.57,39.1502,-123.2078
Bethel,US,26.91,28.03,50,20,2.57,41.3712,-73.414
North Bend,US,14.32,22.18,88,100,3.09,43.4065,-124.2243
Lichinga,MZ,16.05,16.05,48,75,4.63,-13.3128,35.2406
Takoradze,GH,24.16,24.16,87,100,4.69,4.8845,-1.7554
Chunskiy,RU,10.7,10.7,98,7,2.06,56.0815,99.6342
Yangi Marg`ilon,UZ,30.4,30.4,37,5,3.09,40.4272,71.7189
Agadez,NE,32.64,32.64,11,55,3.98,19.75,10.25
Saryg-Sep,RU,8.9,8.9,73,100,1.57,51.5,95.6
Nemuro,JP,17.14,17.14,96,100,1.83,43.3236,145.575
Micheweni,TZ,24.09,24.09,80,100,6.8,-4.9667,39.8333
Norman Wells,CA,23.02,23.02,46,75,4.12,65.282,-126.8329
Sohbatpur,PK,30.87,30.87,71,93,3.08,28.5202,68.5434
Coquimbo,CL,14.85,14.85,72,0,4.12,-29.9533,-71.3436
Naze,JP,24.51,24.51,77,2,2.57,28.3667,129.4833
Ust'-Ishim,RU,15.52,15.52,96,49,1.86,57.6935,71.1665
Grand Gaube,MU,20.77,20.77,77,0,2.24,-20.0064,57.6608
Kudahuvadhoo,MV,28.04,28.04,76,41,8.38,2.6708,72.8944
Mossamedes,AO,17.61,17.61,80,62,1.09,-15.1961,12.1522
Novyy Urgal,RU,16.77,16.77,99,55,0.78,51.0736,132.5642
Bubaque,GW,26.69,26.69,76,100,4.88,11.2833,-15.8333
Chokurdakh,RU,6.56,6.56,67,98,5.05,70.6333,147.9167
Datong,CN,18.58,18.58,79,26,1.03,40.0936,113.2914
Saint-Augustin,CA,20.75,20.75,60,94,7.74,51.226,-58.6502
Bilibino,RU,4.56,4.56,65,73,3.47,68.0546,166.4372
Ialibu,PG,12.76,12.76,99,100,0.31,-6.2821,143.9935
Sibolga,ID,24.24,24.24,91,100,1.22,1.7427,98.7792
Pangai,TO,24.06,24.06,78,20,5.66,-19.8,-174.35
La Paz,BO,16.99,16.99,31,20,3.6,-16.5,-68.15
Tuatapere,NZ,6.89,6.89,95,100,4.4,-46.1333,167.6833
Govlyar,AZ,22.55,22.55,71,37,2.28,40.948,45.735
Vaini,TO,21.09,21.09,94,20,1.54,-21.2,-175.2
Dikson,RU,8.1,8.1,87,100,12.43,73.5069,80.5464
Poum,NC,22.57,22.57,75,4,4.58,-20.2333,164.0167
Shahreza,IR,29.31,29.31,27,89,1.99,32.0339,51.8794
Nishihara,JP,26.28,26.6,86,40,2.57,26.1842,127.7558
Port Lincoln,AU,10.61,10.61,81,100,4.91,-34.7333,135.8667
Mitsamiouli,KM,22.16,22.16,83,20,3.6,-11.3847,43.2844
Liepāja,LV,18.99,18.99,77,20,6.17,56.5419,21.0367
Sept-Îles,CA,20.97,21.0,64,75,8.23,50.2001,-66.3821
Mitú,CO,26.52,26.52,90,38,1.45,1.1983,-70.1733
Dubai,AE,35.77,35.96,44,0,3.09,25.2582,55.3047
Kandrian,PG,24.1,24.1,93,97,2.17,-6.2167,149.55
Narsaq,GL,14.12,14.12,80,60,2.51,60.9167,-46.05
Jaca,ES,25.55,25.55,61,0,2.81,42.569,-0.5499
Avarua,CK,22.03,22.03,68,100,5.66,-21.2078,-159.775
San Cristobal,VE,27.1,27.1,53,54,2.36,7.7669,-72.225
Salalah,OM,25.05,25.05,100,100,3.09,17.0151,54.0924
Humaitá,BR,37.54,37.54,22,9,1.45,-7.5061,-63.0208
Nichinan,JP,25.52,25.52,92,9,1.65,31.6,131.3667
Tataouine,TN,31.35,31.35,21,0,4.37,32.9297,10.4518
São Domingos,BR,30.63,30.63,21,1,3.82,-13.3983,-46.3183
Torbay,CA,25.19,25.43,76,75,8.23,47.6666,-52.7314
Kavaratti,IN,27.12,27.12,78,100,7.42,10.5669,72.642
St. George's,GD,29.82,29.82,74,40,10.29,12.0564,-61.7485
Russell,US,31.64,32.99,55,40,2.57,32.3502,-85.1999
Rio Branco,BR,33.34,33.34,46,40,1.54,-9.9747,-67.81
Carnarvon,AU,17.3,17.3,52,0,4.96,-24.8667,113.6333
Licata,IT,28.86,32.91,57,0,3.47,37.1071,13.9461
Mocuba,MZ,17.64,17.64,88,97,1.11,-16.8392,36.9856
Bremerton,US,29.5,32.69,55,0,3.09,47.5673,-122.6326
Camocim,BR,28.41,28.41,61,88,5.99,-2.9022,-40.8411
Gouré,NE,35.01,35.01,29,96,3.56,13.9835,10.2704
Krasnosel'kup,RU,12.26,12.26,69,1,4.3,65.7,82.4667
Tabou,CI,24.29,24.29,79,100,4.14,4.423,-7.3528
Nantucket,US,24.72,28.08,68,0,2.06,41.2835,-70.0995
Pacifica,US,19.09,26.44,76,20,4.63,37.6138,-122.4869
Half Moon Bay,US,21.04,27.25,69,75,4.63,37.4636,-122.4286
Bordighera,IT,28.13,29.16,79,0,5.39,43.7806,7.6645
Bairiki Village,KI,27.0,27.0,78,40,6.17,1.3292,172.9752
Lüderitz,NA,13.59,13.59,80,39,2.13,-26.6481,15.1594
Mahajanga,MG,23.01,23.01,88,20,2.57,-15.7167,46.3167
