City,Country,Temperature (C),Max Temperature (C),Humidity,Cloudiness,Windspeed (mph),Latitude,Longitude
Pringsewu,ID,22.71,22.71,97,68,1.01,-5.3582,104.9744
Faanui,PF,25.27,25.27,74,44,5.12,-16.4833,-151.75
Tagusao,PH,26.23,26.23,84,55,1.86,9.1924,117.8141
Ponta Delgada,PT,23.4,23.4,88,75,5.66,37.7333,-25.6667
Maniitsoq,GL,4.72,4.72,94,92,4.08,65.4167,-52.9
Nerang,AU,9.7,12.55,72,0,0.89,-27.9833,153.3333
Mayumba,GA,21.19,21.19,87,8,2.85,-3.432,10.6554
Kismayo,SO,24.18,24.18,80,8,8.56,-0.3582,42.5454
Linjiang,CN,20.33,20.33,97,82,0.68,41.8069,126.9078
Hobyo,SO,24.63,24.63,83,48,11.63,5.3505,48.5268
Santa Rosa,PH,25.68,26.73,87,100,0.99,14.3122,121.1114
Dalby,AU,6.66,6.66,72,0,0.89,-27.1833,151.2667
Tromsø,NO,14.1,14.1,82,75,3.09,69.6496,18.957
Middletown,US,23.29,24.52,81,100,2.57,39.5151,-84.3983
Cidreira,BR,17.86,17.86,86,13,5.48,-30.1811,-50.2056
Kirakira,SB,25.83,25.83,84,98,2.12,-10.4544,161.9205
Victor Harbor,AU,11.67,11.67,75,100,4.77,-35.5667,138.6167
Safi,MA,25.95,25.95,59,2,9.87,32.2994,-9.2372
Assiniboia,CA,21.9,21.9,46,25,5.66,49.6334,-105.9845
Kruisfontein,ZA,14.17,14.17,55,11,3.01,-34.0033,24.7314
Vestmannaeyjar,IS,11.2,11.2,95,100,8.46,63.4427,-20.2734
Dzerzhinsk,RU,21.57,21.9,78,20,1.0,56.2389,43.4631
Shiyan,CN,25.58,25.58,93,100,0.85,32.6475,110.7781
Orangeburg,US,33.65,34.96,58,0,6.69,33.4918,-80.8557
Vanimo,PG,24.87,24.87,90,49,2.4,-2.6741,141.3028
Bischheim,FR,23.88,24.84,41,0,4.12,48.6163,7.7552
Itoman,JP,26.91,27.01,89,40,2.57,26.1247,127.6694
Cortez,US,21.97,27.05,70,100,0.0,37.3489,-108.5859
Lahān,NP,26.88,26.88,80,100,2.42,26.7296,86.4951
Linqiong,CN,29.9,29.9,88,27,1.34,30.4159,103.4609
Zaysan,KZ,19.13,19.13,26,0,3.83,47.4667,84.8667
Barabinsk,RU,18.59,18.59,82,7,3.43,55.3571,78.357
Mandalgovi,MN,12.19,12.19,73,5,5.63,45.7625,106.2708
Bakchar,RU,17.66,17.66,88,93,1.76,57.0186,82.0711
Fallon,US,33.36,34.4,16,75,4.12,39.4735,-118.7774
Okhotsk,RU,13.42,13.42,87,100,2.13,59.3833,143.3
Vostok,RU,15.78,15.78,97,0,1.1,46.4856,135.8833
Adré,TD,24.7,24.7,71,100,9.13,13.4667,22.2
Cessnock,AU,8.87,9.73,73,0,3.36,-32.8333,151.35
Uusikaupunki,FI,17.15,17.15,85,76,6.35,60.8004,21.4084
Nynäshamn,SE,18.39,18.42,59,20,6.78,58.9034,17.9479
Klyuchi,RU,20.91,20.91,45,59,3.77,52.2667,79.1667
Lagoa,PT,23.42,23.42,86,11,5.57,39.05,-27.9833
Ahipara,NZ,13.38,13.38,74,94,7.48,-35.1667,173.1667
College,US,11.59,12.82,61,75,7.72,64.8569,-147.8028
Coolum Beach,AU,13.39,13.39,56,0,5.57,-26.5333,153.1
Tabina,PH,26.36,26.36,80,100,0.96,7.4669,123.4081
Nalgonda,IN,24.5,24.5,89,99,2.2,17.05,79.2667
Esperance,AU,13.95,13.95,81,100,3.77,-33.8667,121.9
Kayerkan,RU,11.96,11.96,100,7,2.04,69.3497,87.7602
Honningsvåg,NO,14.86,14.86,82,100,1.03,70.9821,25.9704
Kununurra,AU,19.99,19.99,40,27,3.6,-15.7667,128.7333
Trojan,PL,16.35,16.35,88,100,0.25,53.7897,20.2404
Youkounkoun,GN,26.41,26.41,89,14,1.58,12.5333,-13.1333
Guarapari,BR,24.38,24.38,71,6,4.48,-20.6667,-40.4975
Cabo San Lucas,MX,31.18,32.56,62,20,5.14,22.8909,-109.9124
Arroyo de la Encomienda,ES,29.18,29.52,31,0,2.06,41.6096,-4.7969
Gurbăneşti,RO,30.88,31.38,30,0,1.8,44.3833,26.7
Shubarshi,KZ,22.25,22.25,52,0,1.86,48.5872,57.1869
Lodwar,KE,29.81,29.81,34,49,5.29,3.1191,35.5973
San Pedro de Ycuamandiyú,PY,35.24,35.24,19,0,2.41,-24.0917,-57.0764
Umeå,SE,15.96,15.96,100,100,4.63,63.8284,20.2597
Walvis Bay,NA,12.53,13.38,76,0,2.57,-22.9575,14.5053
Khuzhir,RU,11.93,11.93,88,100,3.15,53.1939,107.3397
Nome,US,7.04,7.04,81,100,9.26,64.5011,-165.4064
Shimoda,JP,24.5,24.5,92,45,3.23,34.6667,138.95
Somoto,NI,28.5,28.5,50,39,3.15,13.4808,-86.5821
Lipovtsy,RU,19.4,19.4,96,31,1.26,44.2014,131.7244
Namatanai,PG,25.83,25.83,80,82,2.76,-3.6667,152.4333
Kumo,NG,25.52,25.52,73,100,3.93,10.0447,11.2122
Moindou,NC,18.68,18.68,80,0,1.96,-21.6924,165.677
Luau,AO,18.97,18.97,28,5,2.02,-10.7073,22.2247
Mount Darwin,ZW,13.14,13.14,91,5,1.75,-16.7725,31.5838
Taganak,PH,25.61,26.08,78,100,3.11,6.0833,118.3
Falmouth,GB,17.32,17.5,63,20,6.17,50.1544,-5.0711
Koumac,NC,20.47,20.47,83,0,2.19,-20.5667,164.2833
Sangamner,IN,24.21,24.21,84,100,1.46,19.5667,74.2167
Wajir,KE,27.98,27.98,36,0,0.0,1.7471,40.0573
Almeria,ES,23.69,28.02,42,0,2.21,37.1667,-2.3333
Genhe,CN,17.34,17.34,99,100,1.35,50.7833,121.5167
Rancho Veloz,CU,31.81,31.81,59,13,6.51,22.8806,-80.3917
Palmer,US,24.9,27.18,48,75,6.17,42.1584,-72.3287
Los Llanos de Aridane,ES,27.86,27.86,35,0,7.72,28.6585,-17.9182
Padang,ID,24.54,24.54,86,98,1.55,-0.9492,100.3543
Pathein,MM,26.49,26.49,89,29,1.96,16.7833,94.7333
Zhireken,RU,16.53,16.53,98,100,2.43,52.8249,117.3076
Bahía Blanca,AR,10.29,10.29,100,100,6.69,-38.7196,-62.2724
Suoyarvi,RU,16.47,16.47,75,100,2.29,62.0833,32.35
Gaoua,BF,25.36,25.36,75,100,1.21,10.2992,-3.2508
Dossor,KZ,27.84,27.84,35,33,2.23,47.5272,52.9811
Kawalu,ID,19.19,19.19,97,92,0.91,-7.3817,108.2082
Beringovskiy,RU,8.75,8.75,81,100,2.94,63.05,179.3167
Fagersta,SE,15.24,16.25,71,100,4.03,60.0042,15.7932
Codrington,AU,9.99,9.99,94,36,4.09,-38.2667,141.9667
Carutapera,BR,26.64,26.64,82,92,4.09,-1.195,-46.02
Ningbo,CN,25.99,25.99,89,0,2.0,29.8782,121.5495
Along,IN,23.09,23.09,98,77,0.6,28.1667,94.7667
Santoña,ES,21.09,22.17,66,30,1.69,43.4439,-3.4576
Havre-St-Pierre,CA,18.2,18.2,72,0,9.77,50.2334,-63.5986
Te Anau,NZ,5.49,5.49,98,100,1.39,-45.4167,167.7167
Rocha,UY,19.33,19.33,86,99,2.86,-34.4833,-54.3333
Talnakh,RU,12.34,12.34,77,5,1.46,69.4865,88.3972
Sinnamary,GF,28.27,28.27,74,55,3.32,5.3833,-52.95
Delray Beach,US,24.54,30.02,94,100,2.06,26.4615,-80.0728
Sena Madureira,BR,36.21,36.21,26,9,1.2,-9.0656,-68.6569
Temascalcingo,MX,19.69,19.69,63,90,2.63,19.9167,-100.0
Vila Franca do Campo,PT,23.23,23.23,81,52,2.7,37.7167,-25.4333
Salinópolis,BR,26.84,26.84,81,98,3.5,-0.6136,-47.3561
Owosso,US,24.75,27.56,50,75,2.57,42.9978,-84.1766
Sangar,RU,16.72,16.72,84,88,0.71,63.9242,127.4739
Chern',RU,18.66,18.66,88,6,2.68,53.4523,36.9145
Saint George,US,29.99,30.44,53,0,1.34,37.1041,-113.5841
Porto Torres,IT,28.1,28.1,67,0,3.05,40.835,8.3972
Gladstone,AU,15.96,15.96,55,0,3.6,-23.85,151.25
Jalu,LY,33.38,33.38,18,6,4.66,29.0331,21.5482
Kuroiso,JP,23.84,23.84,99,99,1.21,36.9667,140.05
Geraldton,AU,6.23,6.23,87,0,4.63,-28.7667,114.6
Jaisalmer,IN,25.18,25.18,94,100,5.42,26.9147,70.9181
Ramos Arizpe,MX,29.87,29.97,35,91,5.08,25.55,-100.9667
Moss Vale,AU,6.08,6.2,84,10,4.77,-34.55,150.3833
Am Timan,TD,24.45,24.45,78,100,2.66,11.0297,20.2827
Kitakata,JP,22.31,22.31,97,37,0.19,37.65,139.8667
Nhulunbuy,AU,22.34,22.34,83,40,4.12,-12.2333,136.7667
Nanortalik,GL,7.85,7.85,88,78,2.27,60.1432,-45.2371
Knysna,ZA,15.42,15.42,55,94,2.65,-34.0363,23.0471
Homer,US,11.34,11.94,73,0,6.26,59.6425,-151.5483
Lakselv,NO,17.9,17.9,88,100,1.54,70.0513,24.9718
Warkworth,NZ,12.51,12.51,77,84,8.29,-36.4,174.6667
Halifax,CA,25.14,27.94,73,40,7.72,44.6453,-63.5724
Airai,TL,11.83,11.83,70,100,1.64,-8.9266,125.4092
Verkhnyaya Inta,RU,11.37,11.37,74,100,7.08,65.9811,60.3094
Grindavik,IS,12.26,12.26,94,100,9.26,63.8424,-22.4338
Zyryanka,RU,9.47,9.47,55,100,7.14,65.75,150.85
Aksha,RU,15.23,15.23,97,100,5.98,50.2814,113.2867
Bengkulu,ID,24.39,24.39,87,100,1.61,-3.8004,102.2655
Ugoofaaru,MV,27.36,27.36,79,53,7.26,5.6667,73.0
Sur,OM,27.66,27.66,79,37,7.7,22.5667,59.5289
Vila Velha,BR,24.41,25.97,81,20,4.63,-20.3297,-40.2925
Alta Floresta,BR,34.9,34.9,28,40,1.54,-9.8756,-56.0861
Areosa,PT,19.7,19.7,73,0,5.49,41.7178,-8.8571
Sinop Province,TR,15.9,15.9,78,5,1.67,41.7711,34.8709
Gigmoto,PH,26.72,26.72,86,78,1.72,13.7796,124.39
Beira,MZ,18.94,19.05,77,20,2.68,-19.8436,34.8389
Usinsk,RU,11.13,11.13,68,43,4.13,65.9939,57.5281
Mayna,RU,18.38,18.38,84,19,1.27,54.1135,47.6231
Margate,GB,17.33,17.72,68,100,0.89,51.3813,1.3862
Kikwit,CD,27.92,27.92,24,100,1.32,-5.041,18.8162
Marabu,MY,25.08,25.08,100,40,3.6,4.4148,114.0089
Fairview,US,26.7,28.6,43,0,4.63,40.8126,-73.999
Tonantins,BR,32.29,32.29,49,31,1.46,-2.8731,-67.8022
Kimbe,PG,23.68,23.68,92,78,1.58,-5.5502,150.1429
Tateyama,JP,26.17,26.17,90,79,5.39,34.9833,139.8667
Tuy Hoa,VN,24.9,24.9,90,89,1.57,13.0833,109.3
Ambilobe,MG,20.52,20.52,81,100,1.33,-13.2,49.05
Changtu,CN,21.16,21.16,95,22,1.28,42.7788,124.0955
Bariloche,AR,4.86,5.14,87,75,5.14,-41.1456,-71.3082
Oktyabr'skoye,RU,19.64,20.08,77,12,2.0,43.0645,44.7417
Panzhihua,CN,22.22,22.22,86,100,0.57,26.5851,101.7128
Alihe,CN,18.0,18.0,99,87,1.32,50.5667,123.7167
Srednekolymsk,RU,4.36,4.36,79,84,6.59,67.45,153.6833
Yulara,AU,6.18,6.18,58,0,3.86,-25.2406,130.9889
Touros,BR,26.57,26.57,69,93,7.03,-5.1989,-35.4608
Manakara,MG,18.41,18.41,86,0,1.66,-22.1333,48.0167
Nakasongola,UG,21.73,21.73,55,98,2.38,1.3089,32.4564
Asău,RO,22.51,22.51,54,0,1.04,46.4333,26.4
Bambanglipuro,ID,21.89,21.89,92,50,1.37,-7.95,110.2833
Manaure,CO,32.51,32.51,50,31,7.36,11.7751,-72.4445
Porto Ferreira,BR,28.25,28.25,23,0,1.55,-21.8539,-47.4792
Ilebo,CD,25.86,25.86,34,62,0.62,-4.3167,20.5833
Hofn,IS,10.09,10.09,90,99,1.29,64.2539,-15.2082
San Luis,AR,14.09,14.09,88,100,4.07,-33.295,-66.3356
Hefei,CN,25.01,25.01,94,0,2.0,31.8639,117.2808
Port Hardy,CA,16.1,16.1,88,20,2.06,50.6996,-127.4199
Karratha,AU,20.07,20.07,29,7,3.27,-20.7377,116.8463
Wilkie,CA,20.5,20.5,53,32,6.13,52.4168,-108.7014
Menongue,AO,15.31,15.31,33,6,2.47,-14.6585,17.691
Aksu,CN,30.44,30.44,21,7,1.54,41.1231,80.2644
Chagoda,RU,18.9,18.9,76,60,1.06,59.164,35.3285
Inhambane,MZ,15.56,15.99,82,0,0.0,-23.865,35.3833
Huarmey,PE,20.12,20.12,71,83,5.92,-10.0681,-78.1522
Canutama,BR,37.13,37.13,25,33,1.49,-6.5339,-64.3831
Stornoway,GB,12.88,13.29,80,75,4.12,58.2093,-6.3865
Ambon City,ID,26.24,27.08,14,40,2.57,-3.6954,128.1814
Yumen,CN,24.25,24.25,16,17,5.44,40.2833,97.2
Inongo,CD,20.94,20.94,92,92,3.04,-1.95,18.2667
Morant Bay,JM,25.79,25.79,78,98,5.96,17.8815,-76.4093
Yaan,NG,23.08,23.08,93,41,3.11,7.3833,8.5667
Arlit,NE,39.79,39.79,10,53,4.73,18.7369,7.3853
Shingū,JP,25.34,25.34,94,100,1.24,33.7333,135.9833
Eyl,SO,24.84,24.84,78,5,11.5,7.9803,49.8164
Ust'-Kulom,RU,11.19,11.19,70,0,1.62,61.6864,53.6902
Aleksinac,RS,28.15,28.16,28,0,1.87,43.5417,21.7078
Omsukchan,RU,13.14,13.14,49,100,2.1,62.5333,155.8
Tura,IN,22.44,22.44,89,20,1.13,25.5198,90.2201
Quelimane,MZ,21.62,21.97,73,75,2.24,-17.8786,36.8883
Kiruna,SE,14.51,14.51,100,75,1.03,67.8557,20.2251
Cumana,VE,28.46,28.46,74,87,3.97,10.4635,-64.1775
Clevelândia,BR,22.63,22.63,59,0,1.34,-26.3958,-52.4708
Zhuhai,CN,29.95,31.03,74,20,4.12,22.2769,113.5678
Nikolayevsk-on-Amur,RU,13.68,13.68,98,100,1.15,53.1406,140.73
Sfântu Gheorghe,RO,24.04,24.04,38,0,0.75,45.8667,25.7833
Lata,PT,21.13,21.13,57,0,3.94,40.1629,-8.3327
Jacksonville,US,32.8,34.45,62,100,2.57,30.3322,-81.6556
Gimli,CA,22.69,22.69,53,12,3.74,50.6336,-96.9907
Broken Hill,AU,5.73,5.73,85,3,2.88,-31.95,141.4333
Taltal,CL,16.79,16.79,72,40,2.32,-25.4,-70.4833
Knoxville,US,30.14,31.77,74,100,7.72,35.9606,-83.9207
Baykit,RU,16.0,16.0,97,95,2.1,61.67,96.37
Pombas,CV,25.88,25.88,85,23,2.56,17.1503,-25.0201
Amapá,BR,28.56,28.56,79,64,0.69,1.0,-52.0
Paamiut,GL,5.66,5.66,93,22,8.12,61.994,-49.6678
Beitbridge,ZW,18.45,18.45,46,0,2.14,-22.2167,30.0
Aasiaat,GL,3.74,3.74,96,100,3.11,68.7098,-52.8699
Kutum,SD,31.06,31.06,24,78,2.71,14.2,24.6667
Hvide Sande,DK,12.27,12.27,70,96,12.42,56.0045,8.1294
Key West,US,24.0,28.0,88,0,7.72,24.5557,-81.7826
Matara,LK,25.14,25.14,91,91,1.48,5.9485,80.5353
Mananara,MG,17.98,17.98,94,16,2.16,-16.1667,49.7667
Mozarlândia,BR,34.61,34.61,18,0,1.72,-14.7447,-50.5706
Cabedelo,BR,28.37,28.37,78,47,5.59,-6.9811,-34.8339
San Juan del Sur,NI,30.12,30.12,66,40,0.0,11.2529,-85.8705
Antofagasta,CL,15.6,15.6,72,20,3.81,-23.65,-70.4
Tazovsky,RU,10.66,10.66,77,99,2.93,67.4667,78.7
Monte Carmelo,BR,27.44,27.44,24,0,2.12,-18.7247,-47.4986
Klaksvík,FO,11.51,11.51,75,91,4.27,62.2266,-6.589
Bandarbeyla,SO,24.73,24.73,81,17,13.53,9.4942,50.8122
Grand Forks,US,22.96,23.85,60,40,4.63,47.9417,-97.4337
Oussouye,SN,31.1,31.1,76,62,4.02,12.485,-16.5469
Raudeberg,NO,10.37,10.37,82,100,8.9,61.9875,5.1352
Shenjiamen,CN,26.42,26.42,86,49,8.25,29.9576,122.298
Toktogul,KG,25.68,25.68,32,0,1.07,41.8708,72.9402
Cap Malheureux,MU,20.82,20.82,77,0,2.24,-19.9842,57.6142
Erenhot,CN,23.12,23.12,36,100,2.83,43.6475,111.9767
Nassau,US,26.29,28.7,54,0,5.14,40.7507,-73.5829
Pinehurst,US,33.25,34.4,52,40,7.72,35.1954,-79.4695
Bathsheba,BB,30.03,30.34,78,40,9.26,13.2167,-59.5167
Praia,CV,29.3,29.3,65,40,3.09,14.9215,-23.5087
Buluang,PH,26.0,26.0,90,41,1.01,13.3068,123.3425
Denpasar,ID,25.4,25.81,88,40,3.6,-8.65,115.2167
Toamasina,MG,19.0,19.0,88,20,1.54,-18.1667,49.3833
Cedral,MX,26.42,26.42,35,97,3.28,23.8,-100.7333
Yankton,US,27.14,27.14,61,75,5.14,42.8711,-97.3973
Praia da Vitória,PT,24.14,25.98,94,40,2.12,38.7333,-27.0667
Northam,GB,17.02,17.99,65,0,4.73,51.0333,-4.2167
Nicoya,CR,28.01,28.01,69,86,0.7,10.1483,-85.452
Nakodar,IN,29.06,29.06,67,20,2.96,31.1258,75.4733
Batagay-Alyta,RU,17.1,17.1,74,86,0.42,67.8006,130.4114
Sri Aman,MY,24.03,24.03,94,100,0.0,1.2376,111.4621
Coffs Harbour,AU,11.98,11.98,43,0,4.12,-30.3,153.1333
Poya,NC,18.53,18.53,83,0,2.1,-21.35,165.15
Porto-Novo,BJ,25.9,25.9,85,100,4.55,6.4965,2.6036
Pisco,PE,18.03,18.03,77,100,3.6,-13.7,-76.2167
Morro Bay,US,26.61,31.28,53,11,2.68,35.3658,-120.8499
Price,US,29.59,30.06,30,0,1.54,39.5994,-110.8107
Xining,CN,14.45,14.45,85,100,1.0,36.6167,101.7667
Zemio,CF,20.54,20.54,99,100,1.52,5.0314,25.1361
Luena,AO,14.58,14.58,33,3,1.8,-11.7833,19.9167
Slave Lake,CA,20.99,20.99,64,0,2.57,55.2834,-114.769
Alice Springs,AU,0.75,0.75,80,0,0.0,-23.7,133.8833
Santa Cruz de la Sierra,BO,32.03,32.03,45,40,7.72,-17.8,-63.1667
Portobelo,PA,25.71,27.84,87,100,1.85,9.55,-79.65
Khingansk,RU,16.5,16.5,95,0,1.09,49.1167,131.1833
Farmington,US,28.18,31.2,39,0,0.0,36.7281,-108.2187
Rolla,US,31.68,33.41,56,0,4.63,37.9514,-91.7713
Schwarzenbek,DE,16.38,17.21,59,46,0.45,53.5,10.4833
Pitimbu,BR,28.33,28.33,78,87,5.51,-7.4706,-34.8086
Carballo,ES,20.77,22.68,74,6,4.62,43.213,-8.691
Jackson,US,32.51,34.4,33,0,1.54,42.4165,-122.8345
Bārmer,IN,26.14,26.14,81,100,4.48,25.75,71.3833
Presque Isle,US,24.19,24.46,49,75,6.17,46.6811,-68.0159
Necochea,AR,14.06,14.06,90,100,3.12,-38.5473,-58.7368
Marsá Maţrūḩ,EG,27.11,27.11,78,0,4.63,31.3525,27.2453
Pirogovo,RU,18.14,18.14,77,9,4.46,56.7796,53.1495
Ancud,CL,11.79,11.79,84,83,3.9,-41.8697,-73.8203
Ilulissat,GL,9.01,9.01,87,75,3.09,69.2167,-51.1
Harper,LR,24.11,24.11,80,100,3.98,4.375,-7.7169
Ypsilanti,US,26.88,28.67,47,75,3.09,42.2412,-83.613
Saiha,IN,20.86,20.86,98,13,1.04,22.4833,92.9667
Kiryat Gat,IL,25.29,28.0,100,0,1.82,31.61,34.7642
Szob,HU,23.09,23.41,67,100,3.71,47.8192,18.8702
Três Lagoas,BR,32.41,32.41,21,0,1.92,-20.7511,-51.6783
Dhanaura,IN,30.29,30.29,57,100,2.9,28.9667,78.25
Hailey,US,28.16,29.94,31,0,5.14,43.5196,-114.3153
